benchmark,instance,result,time,comment
Benchmarks/Basic/Dynamics: Riccati,user,proved,815,timeout=60000 | QE=297 | RCF=0 | proof_steps=274 | tactic_size=1
Benchmarks/Basic/Dynamics: Nonlinear differential cut,user,proved,3272,timeout=60000 | QE=611 | RCF=0 | proof_steps=927 | tactic_size=1
Benchmarks/Basic/Affine: Overdamped Door Closing Mechanism,user,timeout,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/STTT Tutorial: Example 1,user,proved,586,timeout=60000 | QE=234 | RCF=0 | proof_steps=220 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 2,user,proved,1220,timeout=60000 | QE=419 | RCF=0 | proof_steps=1910 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 3a,user,proved,4841,timeout=60000 | QE=2502 | RCF=0 | proof_steps=5824 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 4a,user,proved,1182,timeout=60000 | QE=405 | RCF=0 | proof_steps=1889 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 4b,user,proved,1081,timeout=60000 | QE=343 | RCF=0 | proof_steps=1740 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 4c,user,proved,1807,timeout=60000 | QE=578 | RCF=0 | proof_steps=2185 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 5,user,proved,2967,timeout=60000 | QE=1830 | RCF=0 | proof_steps=3796 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 6,user,proved,3104,timeout=60000 | QE=1995 | RCF=0 | proof_steps=3834 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 7,user,proved,3504,timeout=60000 | QE=2347 | RCF=0 | proof_steps=3965 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 9a,user,proved,885,timeout=60000 | QE=407 | RCF=0 | proof_steps=547 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 9b,user,proved,9373,timeout=60000 | QE=2175 | RCF=0 | proof_steps=3352 | tactic_size=1
